Date,Close
2016-06-08,2.4e-05
2016-06-09,2.3e-05
2016-06-10,2.3e-05
2016-06-11,2.8000000000000006e-05
2016-06-12,2e-05
2016-06-13,2.1e-05
2016-06-14,2.1e-05
2016-06-15,2.3e-05
2016-06-16,2.4e-05
2016-06-17,2.2e-05
2016-06-18,2.3e-05
2016-06-19,2.3e-05
2016-06-20,2.2e-05
2016-06-21,2e-05
2016-06-22,1.8e-05
2016-06-23,2.5e-05
2016-06-24,2.1e-05
2016-06-25,2.6e-05
2016-06-26,2.6e-05
2016-06-27,2.6e-05
2016-06-28,2.6e-05
2016-06-29,2.6e-05
2016-06-30,3.4e-05
2016-07-01,4e-05
2016-07-02,2.8000000000000006e-05
2016-07-03,3.3e-05
2016-07-04,3.4e-05
2016-07-05,3.4e-05
2016-07-06,3.4e-05
2016-07-07,3.2e-05
2016-07-08,2.7e-05
2016-07-09,3.2e-05
2016-07-10,3.2e-05
2016-07-11,2.6e-05
2016-07-12,2.7e-05
2016-07-13,2.6e-05
2016-07-14,2.6e-05
2016-07-15,2.7e-05
2016-07-16,3.2e-05
2016-07-17,2.8000000000000006e-05
2016-07-18,2.7e-05
2016-07-19,2.7e-05
2016-07-20,2.7e-05
2016-07-21,2.2e-05
2016-07-22,3.2e-05
2016-07-23,2.6e-05
2016-07-24,2.7e-05
2016-07-25,2.6e-05
2016-07-26,2.6e-05
2016-07-27,2.6e-05
2016-07-28,2.6e-05
2016-07-29,2.6e-05
2016-07-30,2.6e-05
2016-07-31,1.9e-05
2016-08-01,1.9e-05
2016-08-02,1.7e-05
2016-08-03,1.8e-05
2016-08-04,2.2e-05
2016-08-05,1.9e-05
2016-08-06,2.4e-05
2016-08-07,1.9e-05
2016-08-08,2e-05
2016-08-09,1.8e-05
2016-08-10,2.1e-05
2016-08-11,1.8e-05
2016-08-12,2e-05
2016-08-13,1.8e-05
2016-08-14,1.7e-05
2016-08-15,1.8e-05
2016-08-16,1.7e-05
2016-08-17,1.8e-05
2016-08-18,2.3e-05
2016-08-19,1.8e-05
2016-08-20,2.3e-05
2016-08-21,2.3e-05
2016-08-22,1.8e-05
2016-08-23,1.8e-05
2016-08-24,1.8e-05
2016-08-25,1.8e-05
2016-08-26,1.8e-05
2016-08-27,1.7e-05
2016-08-28,1.7e-05
2016-08-29,2.3e-05
2016-08-30,2.5e-05
2016-08-31,2.1e-05
2016-09-01,1.8e-05
2016-09-02,2e-05
2016-09-03,1.8e-05
2016-09-04,1.9e-05
2016-09-05,1.8e-05
2016-09-06,1.9e-05
2016-09-07,2.4e-05
2016-09-08,2.1e-05
2016-09-09,1.9e-05
2016-09-10,2.5e-05
2016-09-11,3e-05
2016-09-12,2.4e-05
2016-09-13,2.4e-05
2016-09-14,2.4e-05
2016-09-15,2.1e-05
2016-09-16,3e-05
2016-09-17,4.2e-05
2016-09-18,3.1e-05
2016-09-19,3e-05
2016-09-20,2.5e-05
2016-09-21,2.4e-05
2016-09-22,3e-05
2016-09-23,3e-05
2016-09-24,2.4e-05
2016-09-25,2.4e-05
2016-09-26,2.4e-05
2016-09-27,2.4e-05
2016-09-28,2.9e-05
2016-09-29,2.4e-05
2016-09-30,2.4e-05
2016-10-01,2.5e-05
2016-10-02,2.4e-05
2016-10-03,2.4e-05
2016-10-04,2.4e-05
2016-10-05,2.5e-05
2016-10-06,2.5e-05
2016-10-07,2.5e-05
2016-10-08,2.5e-05
2016-10-09,2.5e-05
2016-10-10,2.5e-05
2016-10-11,2.6e-05
2016-10-12,1.9e-05
2016-10-13,2.5e-05
2016-10-14,2e-05
2016-10-15,2.6e-05
2016-10-16,2.6e-05
2016-10-17,2.6e-05
2016-10-18,2.6e-05
2016-10-19,2.5e-05
2016-10-20,2.4e-05
2016-10-21,2.5e-05
2016-10-22,2.7e-05
2016-10-23,2.6e-05
2016-10-24,2.6e-05
2016-10-25,2.6e-05
2016-10-26,2.2e-05
2016-10-27,2.1e-05
2016-10-28,2.1e-05
2016-10-29,2.3e-05
2016-10-30,2.1e-05
2016-10-31,2.5e-05
2016-11-01,2.2e-05
2016-11-02,2.6e-05
2016-11-03,2.1e-05
2016-11-04,2.1e-05
2016-11-05,2.1e-05
2016-11-06,2.8000000000000006e-05
2016-11-07,2.1e-05
2016-11-08,2.1e-05
2016-11-09,2.2e-05
2016-11-10,2.1e-05
2016-11-11,2.1e-05
2016-11-12,2.6e-05
2016-11-13,2.5e-05
2016-11-14,2.1e-05
2016-11-15,2.1e-05
2016-11-16,2.2e-05
2016-11-17,2.2e-05
2016-11-18,2.3e-05
2016-11-19,2.3e-05
2016-11-20,2.2e-05
2016-11-21,2.2e-05
2016-11-22,2.3e-05
2016-11-23,2.2e-05
2016-11-24,2.2e-05
2016-11-25,2.2e-05
2016-11-26,2.2e-05
2016-11-27,2.2e-05
2016-11-28,1.6e-05
2016-11-29,2.2e-05
2016-11-30,2.2e-05
2016-12-01,2.3e-05
2016-12-02,1.6e-05
2016-12-03,2.3e-05
2016-12-04,1.5e-05
2016-12-05,1.5e-05
2016-12-06,1.5e-05
2016-12-07,1.9e-05
2016-12-08,1.6e-05
2016-12-09,1.5e-05
2016-12-10,2.3e-05
2016-12-11,2.3e-05
2016-12-12,1.6e-05
2016-12-13,1.7e-05
2016-12-14,2.3e-05
2016-12-15,2.3e-05
2016-12-16,1.6e-05
2016-12-17,2.4e-05
2016-12-18,1.6e-05
2016-12-19,1.6e-05
2016-12-20,1.6e-05
2016-12-21,1.7e-05
2016-12-22,1.8e-05
2016-12-23,1.8e-05
2016-12-24,1.8e-05
2016-12-25,2.1e-05
2016-12-26,1.9e-05
2016-12-27,1.9e-05
2016-12-28,2e-05
2016-12-29,1.9e-05
2016-12-30,1.9e-05
2016-12-31,1.9e-05
2017-01-01,2.2e-05
2017-01-02,2.1e-05
2017-01-03,2.1e-05
2017-01-04,2.3e-05
2017-01-05,2e-05
2017-01-06,2.2e-05
2017-01-07,1.8e-05
2017-01-08,1.8e-05
2017-01-09,1.8e-05
2017-01-10,1.8e-05
2017-01-11,1.6e-05
2017-01-12,1.6e-05
2017-01-13,1.6e-05
2017-01-14,1.6e-05
2017-01-15,1.7e-05
2017-01-16,1.7e-05
2017-01-17,1.9e-05
2017-01-18,1.8e-05
2017-01-19,1.8e-05
2017-01-20,1.8e-05
2017-01-21,1.8e-05
2017-01-22,1.8e-05
2017-01-23,2.8000000000000006e-05
2017-01-24,2.5e-05
2017-01-25,1.8e-05
2017-01-26,2.7e-05
2017-01-27,1.9e-05
2017-01-28,1.9e-05
2017-01-29,1.9e-05
2017-01-30,2.7e-05
2017-01-31,2.9e-05
2017-02-01,2e-05
2017-02-02,3e-05
2017-02-03,3.1e-05
2017-02-04,2.1e-05
2017-02-05,2.1e-05
2017-02-06,2.1e-05
2017-02-07,2.2e-05
2017-02-08,2.1e-05
2017-02-09,2e-05
2017-02-10,2.9e-05
2017-02-11,2.2e-05
2017-02-12,2e-05
2017-02-13,2e-05
2017-02-14,2.2e-05
2017-02-15,2.1e-05
2017-02-16,2.2e-05
2017-02-17,2.5e-05
2017-02-18,2.2e-05
2017-02-19,2.2e-05
2017-02-20,2.2e-05
2017-02-21,2.2e-05
2017-02-22,2.2e-05
2017-02-23,2.4e-05
2017-02-24,2.4e-05
2017-02-25,2.4e-05
2017-02-26,2.3e-05
2017-02-27,2.4e-05
2017-02-28,1.2e-05
2017-03-01,2.5e-05
2017-03-02,1.3e-05
2017-03-03,2.6e-05
2017-03-04,1.3e-05
2017-03-05,2.5e-05
2017-03-06,2.5e-05
2017-03-07,2.4e-05
2017-03-08,1.3e-05
2017-03-09,2.4e-05
2017-03-10,1.5e-05
2017-03-11,2.4e-05
2017-03-12,3e-05
2017-03-13,2.4e-05
2017-03-14,2.5e-05
2017-03-15,2.8000000000000006e-05
2017-03-16,2.7e-05
2017-03-17,2.2e-05
2017-03-18,2.5e-05
2017-03-19,2.1e-05
2017-03-20,2.1e-05
2017-03-21,1.2e-05
2017-03-22,3.1e-05
2017-03-23,3.1e-05
2017-03-24,1.9e-05
2017-03-25,2.9e-05
2017-03-26,2.9e-05
2017-03-27,3.1e-05
2017-03-28,3.1e-05
2017-03-29,5e-05
2017-03-30,4.1e-05
2017-03-31,4.3e-05
2017-04-01,5.400000000000001e-05
2017-04-02,4.4e-05
2017-04-03,4.6e-05
2017-04-04,4.5e-05
2017-04-05,4.5e-05
2017-04-06,5.9e-05
2017-04-07,4.7e-05
2017-04-08,4.7e-05
2017-04-09,4.7e-05
2017-04-10,4.7e-05
2017-04-11,6e-05
2017-04-12,6e-05
2017-04-13,4.7e-05
2017-04-14,8.1e-05
2017-04-15,0.000105
2017-04-16,0.00013000000000000002
2017-04-17,0.000108
2017-04-18,9.7e-05
2017-04-19,0.000109
2017-04-20,9.9e-05
2017-04-21,7.3e-05
2017-04-22,8.6e-05
2017-04-23,9.7e-05
2017-04-24,8.8e-05
2017-04-25,8.9e-05
2017-04-26,7.7e-05
2017-04-27,7.900000000000001e-05
2017-04-28,7.900000000000001e-05
2017-04-29,7.900000000000001e-05
2017-04-30,8.1e-05
2017-05-01,7.2e-05
2017-05-02,7.5e-05
2017-05-03,7.5e-05
2017-05-04,7.7e-05
2017-05-05,7.8e-05
2017-05-06,8e-05
2017-05-07,8e-05
2017-05-08,8.7e-05
2017-05-09,8.8e-05
2017-05-10,0.000123
2017-05-11,0.000146
2017-05-12,0.000136
2017-05-13,0.000124
2017-05-14,0.000161
2017-05-15,0.00014
2017-05-16,0.000139
2017-05-17,0.00016299999999999998
2017-05-18,0.000245
2017-05-19,0.000373
2017-05-20,0.000368
2017-05-21,0.000974
2017-05-22,0.000907
2017-05-23,0.001219
2017-05-24,0.001536
2017-05-25,0.001153
2017-05-26,0.001026
2017-05-27,0.000834
2017-05-28,0.000935
2017-05-29,0.0008880000000000002
2017-05-30,0.000742
2017-05-31,0.000867
2017-06-01,0.001175
2017-06-02,0.001609
2017-06-03,0.002797
2017-06-04,0.004455
2017-06-05,0.005538
2017-06-06,0.006476000000000001
2017-06-07,0.005113
2017-06-08,0.004828
2017-06-09,0.00508
2017-06-10,0.003820000000000001
2017-06-11,0.003871
2017-06-12,0.003233
2017-06-13,0.004579
2017-06-14,0.003465
2017-06-15,0.003382
2017-06-16,0.003822
2017-06-17,0.003723
2017-06-18,0.003448
2017-06-19,0.003124
2017-06-20,0.003149
2017-06-21,0.002924
2017-06-22,0.003023
2017-06-23,0.003929
2017-06-24,0.003394
2017-06-25,0.003301
2017-06-26,0.003045
2017-06-27,0.002912
2017-06-28,0.00304
2017-06-29,0.002957
2017-06-30,0.002797
2017-07-01,0.002816
2017-07-02,0.002924
2017-07-03,0.0033810000000000003
2017-07-04,0.003421
2017-07-05,0.003796
2017-07-06,0.004726
2017-07-07,0.003425
2017-07-08,0.003922
2017-07-09,0.003651
2017-07-10,0.002722
2017-07-11,0.002434
2017-07-12,0.002836
2017-07-13,0.002647
2017-07-14,0.002355
2017-07-15,0.0021100000000000003
2017-07-16,0.001982
2017-07-17,0.00244
2017-07-18,0.002782
2017-07-19,0.002602
2017-07-20,0.003261
2017-07-21,0.003094
2017-07-22,0.003425
2017-07-23,0.00336
2017-07-24,0.003393
2017-07-25,0.0029170000000000003
2017-07-26,0.00282
2017-07-27,0.00295
2017-07-28,0.002848
2017-07-29,0.002936
2017-07-30,0.002957
2017-07-31,0.003031
2017-08-01,0.003057
2017-08-02,0.0029690000000000003
2017-08-03,0.002983
2017-08-04,0.003084
2017-08-05,0.003353
2017-08-06,0.003357
2017-08-07,0.003355
2017-08-08,0.0033520000000000004
2017-08-09,0.003109
2017-08-10,0.002596
2017-08-11,0.002448
2017-08-12,0.002865
2017-08-13,0.002354
2017-08-14,0.001899
2017-08-15,0.002614
2017-08-16,0.0025050000000000003
2017-08-17,0.00249
2017-08-18,0.002056
2017-08-19,0.002041
2017-08-20,0.002118
2017-08-21,0.002037
2017-08-22,0.002089
2017-08-23,0.0022370000000000003
2017-08-24,0.0023420000000000003
2017-08-25,0.002227
2017-08-26,0.002433
2017-08-27,0.003219
2017-08-28,0.003593
2017-08-29,0.003540999999999999
2017-08-30,0.0050880000000000005
2017-08-31,0.0063950000000000005
2017-09-01,0.005311
2017-09-02,0.0049310000000000005
2017-09-03,0.005725
2017-09-04,0.005827000000000001
2017-09-05,0.006843000000000001
2017-09-06,0.007867
2017-09-07,0.007367
2017-09-08,0.006869
2017-09-09,0.006945000000000001
2017-09-10,0.007962
2017-09-11,0.007578
2017-09-12,0.0070030000000000005
2017-09-13,0.006433
2017-09-14,0.0047
2017-09-15,0.005318
2017-09-16,0.005909
2017-09-17,0.005924
2017-09-18,0.006548
2017-09-19,0.0063100000000000005
2017-09-20,0.006352
2017-09-21,0.005474000000000001
2017-09-22,0.005389
2017-09-23,0.005568
2017-09-24,0.005772
2017-09-25,0.006058
2017-09-26,0.006239
2017-09-27,0.006354
2017-09-28,0.006504
2017-09-29,0.006799
2017-09-30,0.006948
2017-10-01,0.0072099999999999985
2017-10-02,0.007259999999999998
2017-10-03,0.006684999999999999
