Date,Open,High,Low,Close,Adj Close,Volume
2017-02-26,0.00031099999999999997,0.000344,0.000309,0.000327,0.000327,36628.0
2017-02-27,0.00032599999999999996,0.000339,0.00031,0.000322,0.000322,94250.0
2017-02-28,0.000323,0.00033,0.0003,0.00032,0.00032,53504.0
2017-03-01,0.00032,0.000414,0.00031099999999999997,0.000356,0.000356,389652.0
2017-03-02,0.000357,0.0004,0.000333,0.000397,0.000397,192232.0
2017-03-03,0.00038700000000000003,0.0004,0.000352,0.000383,0.000383,161049.0
2017-03-04,0.000383,0.000383,0.00035,0.000363,0.000363,77944.0
2017-03-05,0.000363,0.000367,0.00034700000000000003,0.000349,0.000349,47052.0
2017-03-06,0.000356,0.00037999999999999997,0.00034500000000000004,0.00037799999999999997,0.00037799999999999997,49651.0
2017-03-07,0.00037799999999999997,0.00037999999999999997,0.000343,0.000346,0.000346,62711.0
2017-03-08,0.000346,0.000359,0.00031800000000000003,0.00032599999999999996,0.00032599999999999996,114309.0
2017-03-09,0.000319,0.000344,0.00031600000000000004,0.00032599999999999996,0.00032599999999999996,38318.0
2017-03-10,0.00032599999999999996,0.000346,0.000297,0.000315,0.000315,152785.0
2017-03-11,0.000315,0.00034500000000000004,0.000308,0.000332,0.000332,59014.0
2017-03-12,0.000331,0.000386,0.00033,0.000367,0.000367,159884.0
2017-03-13,0.000367,0.000421,0.000365,0.000404,0.000404,476951.0
2017-03-14,0.000414,0.00041500000000000006,0.000388,0.000408,0.000408,189916.0
2017-03-15,0.000408,0.000411,0.000388,0.000393,0.000393,108753.0
2017-03-16,0.000393,0.00045999999999999996,0.000393,0.00043,0.00043,398863.0
2017-03-17,0.000429,0.000429,0.000379,0.000388,0.000388,254262.0
2017-03-18,0.000388,0.000405,0.00035299999999999996,0.000375,0.000375,203471.0
2017-03-19,0.000377,0.00041900000000000005,0.000363,0.00040300000000000004,0.00040300000000000004,123415.0
2017-03-20,0.00040300000000000004,0.000426,0.000388,0.000412,0.000412,94529.0
2017-03-21,0.000412,0.000646,0.000407,0.0005639999999999999,0.0005639999999999999,1418750.0
2017-03-22,0.000567,0.000692,0.000545,0.0005809999999999999,0.0005809999999999999,960944.0
2017-03-23,0.000596,0.0006259999999999999,0.000495,0.0005549999999999999,0.0005549999999999999,967037.0
2017-03-24,0.000562,0.000586,0.0004969999999999999,0.0004969999999999999,0.0004969999999999999,299515.0
2017-03-25,0.000505,0.000517,0.00046699999999999997,0.000495,0.000495,280700.0
2017-03-26,0.000495,0.000615,0.00048600000000000005,0.00061,0.00061,456405.0
2017-03-27,0.0006129999999999999,0.0006219999999999999,0.000518,0.000537,0.000537,544728.0
2017-03-28,0.000536,0.0006450000000000001,0.000518,0.000628,0.000628,401527.0
2017-03-29,0.000617,0.0006259999999999999,0.000579,0.000607,0.000607,217821.0
2017-03-30,0.000607,0.000714,0.000603,0.000687,0.000687,608691.0
2017-03-31,0.000688,0.000787,0.000644,0.000697,0.000697,844709.0
2017-04-01,0.0007019999999999999,0.0007019999999999999,0.0006360000000000001,0.000668,0.000668,243441.0
2017-04-02,0.000668,0.0007379999999999999,0.000599,0.000615,0.000615,617226.0
2017-04-03,0.000606,0.0006889999999999999,0.000606,0.000646,0.000646,319478.0
2017-04-04,0.000646,0.000683,0.00057,0.000583,0.000583,392386.0
2017-04-05,0.000584,0.000653,0.0005769999999999999,0.000644,0.000644,229181.0
2017-04-06,0.0006450000000000001,0.0006580000000000001,0.000608,0.00064,0.00064,249819.0
2017-04-07,0.000638,0.000644,0.000559,0.000592,0.000592,251943.0
2017-04-08,0.0005809999999999999,0.000608,0.000538,0.000598,0.000598,193141.0
2017-04-09,0.000589,0.000643,0.0005780000000000001,0.000588,0.000588,228646.0
2017-04-10,0.000597,0.000627,0.000583,0.0006129999999999999,0.0006129999999999999,98484.0
2017-04-11,0.000614,0.000926,0.000608,0.000865,0.000865,4743150.0
2017-04-12,0.0008550000000000001,0.0009199999999999999,0.000772,0.0008410000000000001,0.0008410000000000001,1726060.0
2017-04-13,0.0008410000000000001,0.0008619999999999999,0.000801,0.000824,0.000824,478334.0
2017-04-14,0.000824,0.000906,0.000819,0.000849,0.000849,793089.0
2017-04-15,0.000852,0.0008810000000000001,0.000822,0.00085,0.00085,406976.0
2017-04-16,0.000851,0.0008880000000000001,0.000842,0.000878,0.000878,290129.0
2017-04-17,0.0008759999999999999,0.000925,0.000833,0.0008960000000000001,0.0008960000000000001,763858.0
2017-04-18,0.000906,0.000906,0.0008150000000000001,0.0008609999999999999,0.0008609999999999999,623452.0
2017-04-19,0.0008730000000000001,0.0008759999999999999,0.000786,0.000798,0.000798,647432.0
2017-04-20,0.000798,0.0008410000000000001,0.000737,0.000776,0.000776,615063.0
2017-04-21,0.000784,0.00081,0.000736,0.0008039999999999999,0.0008039999999999999,366117.0
2017-04-22,0.000802,0.000819,0.000776,0.000786,0.000786,194027.0
2017-04-23,0.000778,0.000796,0.00074,0.0007599999999999999,0.0007599999999999999,233284.0
2017-04-24,0.0007639999999999999,0.000787,0.000725,0.000782,0.000782,444681.0
2017-04-25,0.000782,0.0008810000000000001,0.0007740000000000001,0.0008810000000000001,0.0008810000000000001,706869.0
2017-04-26,0.0008810000000000001,0.000883,0.000831,0.000837,0.000837,364932.0
2017-04-27,0.000837,0.000878,0.000825,0.00085,0.00085,426860.0
2017-04-28,0.0008460000000000001,0.000919,0.0008460000000000001,0.000906,0.000906,517982.0
2017-04-29,0.000906,0.000977,0.0009019999999999999,0.000968,0.000968,675803.0
2017-04-30,0.000962,0.001294,0.0009550000000000001,0.001248,0.001248,4064720.0
2017-05-01,0.00124,0.001268,0.001053,0.001165,0.001165,1915370.0
2017-05-02,0.001174,0.001281,0.0010199999999999999,0.001247,0.001247,1487720.0
2017-05-03,0.0012380000000000002,0.0012720000000000001,0.001191,0.001234,0.001234,883880.0
2017-05-04,0.001241,0.001541,0.001214,0.001541,0.001541,2074110.0
2017-05-05,0.001545,0.002134,0.001545,0.002055,0.002055,6703420.0
2017-05-06,0.00207,0.002593,0.002041,0.002593,0.002593,7121880.0
2017-05-07,0.002582,0.002811,0.002241,0.002518,0.002518,6525370.0
2017-05-08,0.002571,0.0027129999999999997,0.002252,0.002402,0.002402,4940360.0
2017-05-09,0.002432,0.002514,0.00201,0.002151,0.002151,3556110.0
2017-05-10,0.002132,0.0025559999999999997,0.0021100000000000003,0.00243,0.00243,2676420.0
2017-05-11,0.0024230000000000002,0.002475,0.0021420000000000002,0.0022429999999999998,0.0022429999999999998,2066880.0
2017-05-12,0.0022370000000000003,0.002435,0.002235,0.00225,0.00225,1620950.0
2017-05-13,0.002241,0.0024649999999999997,0.002157,0.0023309999999999997,0.0023309999999999997,1951460.0
2017-05-14,0.0023420000000000003,0.002723,0.0023420000000000003,0.002723,0.002723,3013850.0
2017-05-15,0.002736,0.002788,0.002462,0.002724,0.002724,5851600.0
2017-05-16,0.002705,0.002729,0.002518,0.00262,0.00262,5100050.0
2017-05-17,0.002616,0.004705,0.002566,0.004108,0.004108,25735100.0
2017-05-18,0.004096,0.0043549999999999995,0.003692,0.004111,0.004111,13870400.0
2017-05-19,0.004161,0.006679000000000001,0.0040219999999999995,0.0066159999999999995,0.0066159999999999995,27964900.0
2017-05-20,0.006647,0.008374,0.006014,0.008259,0.008259,34537700.0
2017-05-21,0.008648999999999999,0.012221,0.008648999999999999,0.010669,0.010669,69203400.0
2017-05-22,0.010595,0.010595,0.007736,0.008868000000000001,0.008868000000000001,47962700.0
2017-05-23,0.008834,0.011332,0.00878,0.009704,0.009704,45783500.0
2017-05-24,0.009770000000000001,0.010272,0.008888,0.00915,0.00915,27924400.0
2017-05-25,0.009056999999999999,0.010012,0.007383,0.009231,0.009231,27509800.0
2017-05-26,0.009264,0.009692000000000001,0.006690000000000001,0.007123999999999999,0.007123999999999999,17252100.0
2017-05-27,0.006962,0.007187000000000001,0.004751,0.006698999999999999,0.006698999999999999,18964100.0
2017-05-28,0.006723999999999999,0.007701,0.006156,0.006737999999999999,0.006737999999999999,13343200.0
2017-05-29,0.006693000000000001,0.008419,0.006593000000000001,0.008059,0.008059,14410100.0
2017-05-30,0.008091,0.00881,0.007686,0.007797,0.007797,21492800.0
2017-05-31,0.007781999999999999,0.007842,0.007145,0.007476000000000001,0.007476000000000001,15261900.0
2017-06-01,0.0074719999999999995,0.008527,0.007402,0.008492,0.008492,20168700.0
2017-06-02,0.008513,0.010634000000000001,0.008436,0.010058,0.010058,39687800.0
2017-06-03,0.010089,0.017093,0.009614,0.014981,0.014981,122253000.0
2017-06-04,0.014459,0.017676,0.013428,0.014407,0.014407,113518000.0
2017-06-05,0.014369,0.017244,0.014303999999999999,0.015390000000000001,0.015390000000000001,54687500.0
2017-06-06,0.015418000000000001,0.016630000000000002,0.013849,0.015663,0.015663,45840900.0
2017-06-07,0.015661,0.016735,0.013346,0.013905,0.013905,32680300.0
2017-06-08,0.013986000000000002,0.015209,0.013347999999999999,0.014899,0.014899,29928200.0
2017-06-09,0.014874,0.018624,0.014824,0.018624,0.018624,56713200.0
2017-06-10,0.018536,0.018547,0.015406,0.015434,0.015434,40792200.0
2017-06-11,0.015344,0.016671000000000002,0.014819999999999998,0.01524,0.01524,28378600.0
2017-06-12,0.015222999999999999,0.016333,0.012811000000000001,0.013958000000000002,0.013958000000000002,29227000.0
2017-06-13,0.014019,0.016346,0.013144,0.015787,0.015787,33813100.0
2017-06-14,0.015761,0.015983,0.013488,0.014094,0.014094,17277000.0
