Date,Open,High,Low,Close,Adj Close,Volume
2018-10-18,5.7999999999999994e-05,5.7999999999999994e-05,5.6999999999999996e-05,5.6999999999999996e-05,5.6999999999999996e-05,167411
2018-10-19,5.6999999999999996e-05,5.7999999999999994e-05,5.6999999999999996e-05,5.7999999999999994e-05,5.7999999999999994e-05,151871
2018-10-20,5.7999999999999994e-05,5.9e-05,5.6999999999999996e-05,5.9e-05,5.9e-05,260276
2018-10-21,5.9e-05,5.9999999999999995e-05,5.6999999999999996e-05,5.7999999999999994e-05,5.7999999999999994e-05,202344
2018-10-22,5.7999999999999994e-05,6.1e-05,5.4000000000000005e-05,5.5e-05,5.5e-05,286700
2018-10-23,5.6000000000000006e-05,5.6000000000000006e-05,5.4000000000000005e-05,5.6000000000000006e-05,5.6000000000000006e-05,420575
2018-10-24,5.6000000000000006e-05,5.6999999999999996e-05,5.5e-05,5.5e-05,5.5e-05,206692
2018-10-25,5.6000000000000006e-05,5.6000000000000006e-05,5.4000000000000005e-05,5.6000000000000006e-05,5.6000000000000006e-05,326480
2018-10-26,5.6000000000000006e-05,5.6000000000000006e-05,5.3e-05,5.5e-05,5.5e-05,401973
2018-10-27,5.5e-05,5.5e-05,5.3e-05,5.4000000000000005e-05,5.4000000000000005e-05,173706
2018-10-28,5.4000000000000005e-05,5.6000000000000006e-05,5.3e-05,5.6000000000000006e-05,5.6000000000000006e-05,142795
2018-10-29,5.6000000000000006e-05,5.6000000000000006e-05,5.3e-05,5.4000000000000005e-05,5.4000000000000005e-05,171923
2018-10-30,5.4000000000000005e-05,5.4000000000000005e-05,5e-05,5e-05,5e-05,245623
2018-10-31,5.1e-05,5.1e-05,5e-05,5.1e-05,5.1e-05,152095
2018-11-01,5.1e-05,5.5e-05,4.9e-05,5e-05,5e-05,245490
2018-11-02,5e-05,5.4000000000000005e-05,5e-05,5.3e-05,5.3e-05,190019
2018-11-03,5.4000000000000005e-05,5.4000000000000005e-05,4.9e-05,5.1e-05,5.1e-05,231926
2018-11-04,5.1e-05,5.2000000000000004e-05,5e-05,5.2000000000000004e-05,5.2000000000000004e-05,252390
2018-11-05,5.2000000000000004e-05,5.2000000000000004e-05,5e-05,5.1e-05,5.1e-05,156891
2018-11-06,5.1e-05,5.6000000000000006e-05,5e-05,5.5e-05,5.5e-05,161939
2018-11-07,5.5e-05,5.6000000000000006e-05,5.2000000000000004e-05,5.2000000000000004e-05,5.2000000000000004e-05,162550
2018-11-08,5.2000000000000004e-05,5.5e-05,5.2000000000000004e-05,5.4000000000000005e-05,5.4000000000000005e-05,71652
2018-11-09,5.4000000000000005e-05,5.6000000000000006e-05,5.4000000000000005e-05,5.5e-05,5.5e-05,126715
2018-11-10,5.5e-05,5.5e-05,5e-05,5.1e-05,5.1e-05,347164
2018-11-11,5.1e-05,5.2000000000000004e-05,4.9e-05,5e-05,5e-05,135566
2018-11-12,5e-05,5.3e-05,4.7e-05,4.9e-05,4.9e-05,363713
2018-11-13,4.9e-05,4.9e-05,4.5e-05,4.6e-05,4.6e-05,151658
2018-11-14,4.6e-05,4.7e-05,3.5e-05,3.8e-05,3.8e-05,509512
2018-11-15,3.8e-05,3.8e-05,3.5e-05,3.7e-05,3.7e-05,391261
2018-11-16,3.7e-05,3.7e-05,3.6e-05,3.6e-05,3.6e-05,263082
2018-11-17,3.7e-05,3.9e-05,3.6e-05,3.8e-05,3.8e-05,205547
2018-11-18,3.8e-05,3.9e-05,3.7e-05,3.8e-05,3.8e-05,241343
2018-11-19,3.8e-05,3.9e-05,3.2e-05,3.3e-05,3.3e-05,298946
2018-11-20,3.3e-05,3.3e-05,2.7000000000000002e-05,2.8000000000000003e-05,2.8000000000000003e-05,225780
2018-11-21,2.8000000000000003e-05,2.9999999999999997e-05,2.7000000000000002e-05,2.8000000000000003e-05,2.8000000000000003e-05,219897
2018-11-22,2.8000000000000003e-05,2.9999999999999997e-05,2.6000000000000002e-05,2.8000000000000003e-05,2.8000000000000003e-05,211185
2018-11-23,2.8000000000000003e-05,3.2e-05,2.4e-05,2.5e-05,2.5e-05,119661
2018-11-24,2.5e-05,2.5e-05,2.1e-05,2.3e-05,2.3e-05,82580
2018-11-25,2.4e-05,2.6000000000000002e-05,2.2e-05,2.6000000000000002e-05,2.6000000000000002e-05,148657
2018-11-26,2.6000000000000002e-05,3.2e-05,2.6000000000000002e-05,2.9999999999999997e-05,2.9999999999999997e-05,171057
2018-11-27,2.9999999999999997e-05,3.1e-05,2.6000000000000002e-05,2.8000000000000003e-05,2.8000000000000003e-05,147477
2018-11-28,2.8000000000000003e-05,3.3e-05,2.8000000000000003e-05,3.2e-05,3.2e-05,224613
2018-11-29,3.2e-05,3.2e-05,2.8999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,159968
2018-11-30,2.9999999999999997e-05,3.1e-05,2.8999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,122870
2018-12-01,2.9999999999999997e-05,3.1e-05,2.8999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,103016
2018-12-02,2.9999999999999997e-05,3.1e-05,2.8999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,119987
2018-12-03,3.1e-05,3.1e-05,2.8000000000000003e-05,2.9999999999999997e-05,2.9999999999999997e-05,217285
2018-12-04,2.8999999999999997e-05,3.2e-05,2.8999999999999997e-05,3.1e-05,3.1e-05,239037
2018-12-05,3.1e-05,3.1e-05,2.8000000000000003e-05,2.8000000000000003e-05,2.8000000000000003e-05,171787
2018-12-06,2.8000000000000003e-05,2.8999999999999997e-05,2.8000000000000003e-05,2.8000000000000003e-05,2.8000000000000003e-05,133043
